Date,OilReturn,RollingAR1Coefficient,RollingResidualStd,ResidualVolatilityThreshold,ShockRegime,Innovation,StandardizedInnovation,InnovationShock
2017-03-03,0.0135928088697947,0.00967268343552839,0.014266752866575708,0.040845172297776226,0,0.01324736169156824,0.9285477792640743,0
2017-03-06,-0.002440628264912,-0.037143644742587335,0.01426801346593989,0.040845172297776226,0,-0.0025491040949665537,-0.17865865497335612,0
2017-03-07,-0.0011284560159312,-0.06585048405380757,0.013870520508290591,0.040845172297776226,0,-0.001446435294145127,-0.10428125557945526,0
2017-03-08,-0.0553225566096204,-0.07522291774490722,0.013859234801699077,0.040845172297776226,0,-0.05546745001046208,-4.0022014782275015,1
2017-03-09,-0.0200890644967826,-0.06040662283631009,0.014855710292848818,0.040845172297776226,0,-0.02317972514261741,-1.560324258192863,0
2017-03-10,-0.0161607281080033,0.023843819917593087,0.01509130740095971,0.040845172297776226,0,-0.015139577338657291,-1.0031985259073386,0
2017-03-13,-0.001857777394675,0.049129183307332784,0.014976913450837738,0.040845172297776226,0,6.113742060765543e-05,0.004082110830668898,0
2017-03-14,-0.0141492164928704,0.04222671690171323,0.014965422984900284,0.040845172297776226,0,-0.012864342208330586,-0.8596043173193546,0
2017-03-15,0.0236084685998791,0.041512979336878766,0.015050862601585335,0.040845172297776226,0,0.02567436088708929,1.705839829033119,0
2017-03-16,-0.0022538683857384,0.015586339966642219,0.015386887027421277,0.040845172297776226,0,-0.0014310572834574098,-0.09300499060707303,0
2017-03-17,0.0006151953439181,0.008691801866228092,0.015333054306699906,0.040845172297776226,0,0.0020249548215177183,0.13206467420081447,0
2017-03-20,-0.011546520034749,0.0066434789206729905,0.015331446020714542,0.040845172297776226,0,-0.010147221108019047,-0.6618567546928703,0
2017-03-21,-0.0184182686671872,0.0016399862696515714,0.015204056175200823,0.040845172297776226,0,-0.016514249240307033,-1.0861739163555086,0
2017-03-22,0.0146783931259451,0.006848193792920822,0.01533800945284036,0.040845172297776226,0,0.017041412205043554,1.1110576152297096,0
2017-03-23,-0.0071025993174873,-0.011814156817441307,0.015485736733531747,0.040845172297776226,0,-0.004992747628006694,-0.3224094348185413,0
2017-03-24,0.0056444176196768,-0.01743590524743397,0.015498315529812645,0.040845172297776226,0,0.007568351626791039,0.4883338200356365,0
2017-03-27,-0.0050156844961675,-0.020307753568836,0.015527005177394849,0.040845172297776226,0,-0.002941343573584217,-0.1894340563411676,0
2017-03-28,0.0133196558170869,-0.018600364204987008,0.01520300473063835,0.040845172297776226,0,0.014821539010280542,0.9749085311018126,0
2017-03-29,0.0232948825384395,0.011485180778077997,0.015122807752628408,0.040845172297776226,0,0.024756294487464706,1.6370170733117968,0
2017-03-30,0.0168239497912399,0.02357251772279301,0.015395984704226352,0.040845172297776226,0,0.01763220121426531,1.1452467349766264,0
2017-03-31,0.0049529571288484,0.05053589785126356,0.015543326461716998,0.040845172297776226,0,0.005215257955347255,0.3355303620619669,0
2017-04-03,-0.0071400541334765,0.07138816577823259,0.014754156477896416,0.040845172297776226,0,-0.007128556904343613,-0.4831558425602364,0
2017-04-04,0.0156021729159365,0.012447620333030478,0.014545531802439003,0.040845172297776226,0,0.015880004044438484,1.0917444793442146,0
2017-04-05,0.0023487973217557,0.05330889065190825,0.014211144526485992,0.040845172297776226,0,0.0019071355380778207,0.1341999959625631,0
2017-04-06,0.0106952891167479,0.024413323281727975,0.014099296162217154,0.040845172297776226,0,0.011233562230219674,0.7967463127927632,0
2017-04-07,0.0103907034537922,0.04250237784707742,0.014082205885302458,0.040845172297776226,0,0.010128637104641094,0.7192507471583207,0
2017-04-10,0.0159517244958307,0.05265420828535615,0.014141882620160705,0.040845172297776226,0,0.01543524482621446,1.0914561547986499,0
2017-04-11,0.0060105365021425,0.0662565218122,0.014278170059552097,0.040845172297776226,0,0.004758160545010075,0.33324722462083756,0
2017-04-12,-0.0054455115318412,0.07678181783972016,0.013828606238940116,0.040845172297776226,0,-0.006645059825565722,-0.4805299761051717,0
2017-04-13,0.0013171513805656,0.09083777993698208,0.013822333690929884,0.040845172297776226,0,0.0013156047561518136,0.09517964083120813,0
2017-04-17,-0.0100161472348889,0.08152203340833769,0.01359095413178489,0.040845172297776226,0,-0.010321466745193948,-0.7594365079237037,0
2017-04-18,-0.0045688257659097,0.07244625443066738,0.01364219600041218,0.040845172297776226,0,-0.00379335716446611,-0.2780605970146961,0
2017-04-19,-0.0383129017173562,0.07146928526852672,0.013612738963553018,0.040845172297776226,0,-0.037741466638942726,-2.772510862067684,1
2017-04-20,-0.0033760333922345,0.09274678235708407,0.014418989761844928,0.040845172297776226,0,0.0009134082180824372,0.06334758767215919,0
2017-04-21,-0.0130144994408292,0.10237188395137217,0.014157549976009848,0.040845172297776226,0,-0.011602633698129975,-0.8195368349602007,0
2017-04-24,-0.0078907844935454,0.125646033154254,0.01414337791381258,0.040845172297776226,0,-0.005228104946960498,-0.36965037481284246,0
2017-04-25,0.0066808629908323,0.12419624286555489,0.014123698737837207,0.040845172297776226,0,0.008647328131373914,0.6122566256817581,0
2017-04-26,0.001209921502713,0.12361084415566544,0.014149170610115563,0.040845172297776226,0,0.0013207281836413289,0.0933431520499944,0
2017-04-27,-0.0131861125494285,0.11676215826607199,0.013890234407522864,0.040845172297776226,0,-0.012057062739650083,-0.8680244253559934,0
2017-04-28,0.0073245495314204,0.1277946012329652,0.013944312442308227,0.040845172297776226,0,0.010343482549274878,0.7417707106082818,0
2017-05-01,-0.0099827660031426,0.12055685502245816,0.013974255225604505,0.040845172297776226,0,-0.009568463652599859,-0.6847208311372416,0
2017-05-02,-0.0244571775719082,0.1220062900839665,0.01389816301505598,0.040845172297776226,0,-0.022031082453727653,-1.585179453562404,0
2017-05-03,0.003351490359583,0.12281382401509207,0.014090578265435139,0.040845172297776226,0,0.007717083337506307,0.5476768371129722,0
2017-05-04,-0.0492921722121031,0.11592166916471837,0.014100024302878331,0.040845172297776226,0,-0.04832753239075018,-3.42747865908889,1
2017-05-05,0.0152608150281587,0.09064177436272486,0.015299571845569463,0.040845172297776226,0,0.02216863712345559,1.4489710788786099,0
2017-05-08,0.0045331971855957,-0.0027193279221206096,0.015336675803190248,0.040845172297776226,0,0.007174513319300208,0.46780106793466986,0
2017-05-09,-0.0119165097706601,0.0264069540326647,0.015233138436543194,0.040845172297776226,0,-0.009883931813876708,-0.6488440878450807,0
2017-05-10,0.0311150516569864,0.03007593033943238,0.015251470296155341,0.040845172297776226,0,0.03391562839910666,2.22376123354194,0
2017-05-11,0.0105087137740489,0.006518482248644909,0.015863457734314634,0.040845172297776226,0,0.012242432649087353,0.7717379687409162,0
2017-05-12,0.0002090519501707,0.03366755643803684,0.015913735001366395,0.040845172297776226,0,0.0016438786950895182,0.1032993634082992,0
2017-05-15,0.0208922688464157,0.03398403459905153,0.01591215218314302,0.040845172297776226,0,0.022685681356330728,1.4256827797539187,0
2017-05-16,-0.0038970411334156,0.03681770897316537,0.01617832657064135,0.040845172297776226,0,-0.00322542778414813,-0.19936720711283465,0
2017-05-17,0.0083905127464358,0.030805135334171892,0.016081975695949057,0.040845172297776226,0,0.010247744846977493,0.6372192721046601,0
2017-05-18,0.0056899157776784,0.03617812881435713,0.016105643804291928,0.040845172297776226,0,0.006815300833514543,0.42316227257542854,0
2017-05-19,0.019663554908778,0.048918417467581354,0.015962891257759983,0.040845172297776226,0,0.02097902094658935,1.3142369140922947,0
2017-05-22,0.0079161307903299,0.0681089442985941,0.01615384996568585,0.040845172297776226,0,0.007653126885824073,0.47376488589908367,0
2017-05-23,0.0144816620860646,0.07973204765498261,0.016179238170836965,0.040845172297776226,0,0.01483007073851618,0.9166111891008158,0
2017-05-24,-0.0021394542829575,0.08828926566764389,0.016291525826716145,0.040845172297776226,0,-0.0026964489222578193,-0.16551236212853476,0
2017-05-25,-0.0490822629008791,0.08568756189234936,0.01629186619804924,0.040845172297776226,0,-0.048172773962889076,-2.956860397531205,1
