Date,NATURAL GAS,GOLD,WTI CRUDE,BRENT CRUDE,SOYBEANS,CORN,COPPER,SILVER,LOW SULPHUR GAS OIL,LIVE CATTLE,SOYBEAN OIL,ALUMINIUM,SOYBEAN MEAL,ZINC,ULS DIESEL,NICKEL,WHEAT,SUGAR,COFFEE,LEAN HOGS,HRW WHEAT,COTTON
2000-01-04,0.0,0.0,0.0,0.0,0.0168345001977918,0.0111456262149163,0.0,0.0,0.0,-0.009007446956998,0.008384441249277,0.0,0.0101937681895423,-0.0183491386681966,0.0,-0.0157521156813054,-0.0010106115059231,-0.0556166906592572,-0.0021482285382896,-0.0062724219984149,-0.0009119927672687,-0.006679789080954
2000-01-05,-0.0036832454162963,-0.0056557238068544,-0.0253679873756245,-0.0274331417801567,0.0107124752338023,0.0,0.0099736819722716,-0.0311787182484508,-0.0023446669592539,-0.00144875070613,0.0108592571433501,0.0116780675661791,0.0187547359156958,-0.0047437440715558,-0.0183136213377848,-0.000842307973512,0.0100604470258414,0.0069084903438114,0.0200134420961592,-0.0099368477979968,0.0081781464438916,0.0162287264923879
2000-01-06,0.0128324400698843,0.0010628876111358,-0.0052324530730927,-0.0046462596784557,-0.0026673795489706,0.0036877730791848,-0.0040947702724955,-0.0082876064602279,-0.0082498994721422,0.0158219769475023,-0.0012714559881965,0.0019839762326094,-0.0106738838617568,0.0022715549261667,-0.0040653522827582,-0.0066429376479284,-0.0050175719919796,-0.0069084903438114,-0.0148654255787583,0.0018140594543929,-0.0045351551653904,0.0100348198293271
2000-01-07,-0.0105288223729915,0.0017689726884349,-0.0228581380760499,-0.0226941874028123,0.0074508061558651,0.0158250411443967,0.0011716462968907,0.0054043752461432,-0.0288135179047452,0.0113516649970639,0.0113853222251254,0.0074428839070783,0.0,-0.0022715549261667,-0.0233544919787149,-0.0094972100669199,0.0129936860619883,0.0120587163201273,-0.0233776880090621,0.0081227883436039,0.0099503308531678,0.0354620334392414
2000-01-10,0.0195950676107448,-0.0007072136079768,0.0184091924163189,0.0273404470812681,-0.0111971311154865,0.0072202479734873,-0.0088209922153797,-0.0009629273733935,-0.046114089102021,-0.0014119310499527,-0.0120216569586562,-0.0092741067597224,-0.0094340322333588,-0.0103907834304743,-0.0004634278294108,-0.0053974615823655,0.0069272914325662,-0.0017137964777345,0.0293504020102739,0.0004493372351497,0.0071749186722946,-0.0074405105165835
2000-01-11,0.0196610443991569,0.0059954332295406,0.0436230941230082,0.0368190503086354,0.0016072867108718,-0.0060132472234517,-0.003550299587167,0.0009629273733935,0.0276747221562212,0.0014119310499527,-0.0089514664216228,0.0024408860326312,0.0074199328616577,-0.0098667747033873,0.0308840245301222,-0.0095783213365034,0.0009857073247587,-0.0278278826227402,0.0021244962314073,0.006715941965437,0.000893255977215,0.0115093158339774
2000-01-12,-0.0071048256237444,-0.00246435611428,0.0195971689521363,0.0076876769474023,0.0117084892649002,0.0390351155283985,0.0263250065764121,-0.0100600577584117,0.0,-0.0063694482854801,0.0070400290763545,0.0016746597504422,0.0140142433748113,0.0090308289911753,0.0254413958526127,0.0170533883102486,0.0195128142235816,-0.0395735090645079,0.0097149655314803,-0.0221078257330207,0.0203276995056711,-0.0085264650019123
2000-01-13,0.0035587226169939,0.0049226541038205,0.0154807698000229,0.0068287069937218,0.0193875603606779,0.0240699299402669,-0.0110305907982604,0.0019425025533081,0.0329498996602142,0.0024818307367597,0.0276747221562208,-0.0059501281658427,0.0190356912977405,-0.0014645886078588,0.0117605711212078,-0.0103081045278941,0.0181910234018385,0.0073126468462865,-0.0033684242375517,0.0004561003499823,0.0147636203055991,0.0189919970415735
2000-01-14,0.0306101729982558,-0.0007017544147638,0.0486295774924281,0.0194257842939338,0.0077539804369042,-0.0079591096675688,0.0069808311413402,-0.0005823546704424,0.0260678267699177,0.0031819012173839,-0.0055987704570208,0.0120162674834158,0.0077720598477029,0.0014645886078588,0.0633379595277814,0.0022178422102303,0.0056764580048049,-0.0073126468462865,-0.0519372451586734,0.0238803868805002,0.010291686036548,0.0067352580087929
2000-01-17,0.0,0.0,0.0,0.007042282625413,0.0,0.0,0.0,0.0,0.0310905870700306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
